plot next snapshot,      time step=1,    t=0.001,        dt=0.001,       v_max=1.999999943436138e-09,    dx_min=1.999999943436137e-09
plot next snapshot,      time step=100000,       t=100.0000000001134,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.999880307905794e-09
plot next snapshot,      time step=200000,       t=200.0000000005909,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.999521293971116e-09
plot next snapshot,      time step=300001,       t=300.0009999998178,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.998922593362502e-09
plot next snapshot,      time step=400001,       t=400.0009999974531,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.99808371499696e-09
plot next snapshot,      time step=500001,       t=500.0009999950884,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.997003947187836e-09
plot next snapshot,      time step=600001,       t=600.0009999927238,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.995682376541596e-09
plot next snapshot,      time step=700001,       t=700.0009999903591,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.994117879725985e-09
plot next snapshot,      time step=800001,       t=800.0009999879944,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.992309119202598e-09
plot next snapshot,      time step=900001,       t=900.0009999856297,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.990254538099174e-09
plot next snapshot,      time step=1000001,      t=1000.000999983265,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.987952354177731e-09
plot next snapshot,      time step=1100001,      t=1100.0009999809,      dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.985400552844232e-09
plot next snapshot,      time step=1200001,      t=1200.000999978536,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.982596879141144e-09
plot next snapshot,      time step=1300001,      t=1300.000999976171,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.979538828645406e-09
plot next snapshot,      time step=1400001,      t=1400.000999973806,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.976223637191606e-09
plot next snapshot,      time step=1500001,      t=1500.000999971442,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.97264826932133e-09
plot next snapshot,      time step=1600001,      t=1600.000999969077,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.968809405347483e-09
plot next snapshot,      time step=1700001,      t=1700.000999966712,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.964703426904716e-09
plot next snapshot,      time step=1800001,      t=1800.000999964348,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.960326400839802e-09
plot next snapshot,      time step=1900001,      t=1900.000999961983,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.955674061272256e-09
plot next snapshot,      time step=2000001,      t=2000.000999959618,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.95074178962952e-09
plot next snapshot,      time step=2100001,      t=2100.000999969077,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.945524592437665e-09
plot next snapshot,      time step=2200001,      t=2200.00099998945,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.940017076608375e-09
plot next snapshot,      time step=2300000,      t=2300.000000009822,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.934213481466092e-09
plot next snapshot,      time step=2400000,      t=2400.000000030195,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.928107413004527e-09
plot next snapshot,      time step=2500000,      t=2500.000000050567,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.921692157828739e-09
plot next snapshot,      time step=2600000,      t=2600.00000007094,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.914960415867838e-09
plot next snapshot,      time step=2700000,      t=2700.000000091313,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.907904314225636e-09
plot next snapshot,      time step=2800000,      t=2800.000000111685,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.900515359342206e-09
plot next snapshot,      time step=2900000,      t=2900.000000132058,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.892784383286475e-09
plot next snapshot,      time step=3000000,      t=3000.000000152431,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.884701483326813e-09
plot next snapshot,      time step=3100000,      t=3100.000000172804,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.876255953772914e-09
plot next snapshot,      time step=3200000,      t=3200.000000193176,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.86743620890085e-09
plot next snapshot,      time step=3300000,      t=3300.000000213549,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.858229695546606e-09
plot next snapshot,      time step=3400000,      t=3400.000000233922,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.84862279367807e-09
plot next snapshot,      time step=3500000,      t=3500.000000254294,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.838600702922413e-09
plot next snapshot,      time step=3600000,      t=3600.000000274667,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.828147312610824e-09
plot next snapshot,      time step=3700000,      t=3700.00000029504,     dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.817245052379981e-09
plot next snapshot,      time step=3800000,      t=3800.000000315412,    dt=0.001,       v_max=1.999999943435355e-09,    dx_min=1.805874719731441e-09
