plot next snapshot,      time step=1,    t=0.0001,       dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999999943436137e-09
plot next snapshot,      time step=1000000,      t=100.0000000021961,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999939747337911e-09
plot next snapshot,      time step=2000000,      t=200.0000000055158,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.99975913196069e-09
plot next snapshot,      time step=3000001,      t=300.0000999963298,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999458016516987e-09
plot next snapshot,      time step=4000001,      t=400.0000999712278,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.999036267387388e-09
plot next snapshot,      time step=5000001,      t=500.0000999461257,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.998493696047074e-09
plot next snapshot,      time step=6000001,      t=600.0000999210237,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.997830059772277e-09
plot next snapshot,      time step=7000001,      t=700.0000998959216,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.997045060912561e-09
plot next snapshot,      time step=8000001,      t=800.0000998708196,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.996138346291268e-09
plot next snapshot,      time step=9000001,      t=900.0000998457175,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.995109506489856e-09
plot next snapshot,      time step=10000001,     t=1000.000099820615,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.993958075014514e-09
plot next snapshot,      time step=11000001,     t=1100.000099795514,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.992683527338728e-09
plot next snapshot,      time step=12000001,     t=1200.000099770411,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.991285279827262e-09
plot next snapshot,      time step=13000001,     t=1300.000099745309,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.989762688492683e-09
plot next snapshot,      time step=14000001,     t=1400.000099720207,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.988115047681145e-09
plot next snapshot,      time step=15000001,     t=1500.000099695105,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.986341588546578e-09
plot next snapshot,      time step=16000001,     t=1600.000099670003,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.984441477407765e-09
plot next snapshot,      time step=17000001,     t=1700.000099644901,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.982413813936269e-09
plot next snapshot,      time step=18000001,     t=1800.000099619799,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.980257629175987e-09
plot next snapshot,      time step=19000001,     t=1900.000099594697,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.977971883382337e-09
plot next snapshot,      time step=20000001,     t=2000.000099569595,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.975555463671569e-09
plot next snapshot,      time step=21000001,     t=2100.000099662727,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.973007181465404e-09
plot next snapshot,      time step=22000001,     t=2200.000099864999,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.970325769718727e-09
plot next snapshot,      time step=23000000,     t=2300.00000006727,     dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.967509882797507e-09
plot next snapshot,      time step=24000000,     t=2400.000000269542,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.964558081825901e-09
plot next snapshot,      time step=25000000,     t=2500.000000471814,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.961468848054845e-09
plot next snapshot,      time step=26000000,     t=2600.000000674085,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.958240567919732e-09
plot next snapshot,      time step=27000000,     t=2700.000000876357,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.954871531662498e-09
plot next snapshot,      time step=28000000,     t=2800.000001078628,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.951359928864569e-09
plot next snapshot,      time step=29000000,     t=2900.0000012809,      dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.947703843612918e-09
plot next snapshot,      time step=30000000,     t=3000.000001483172,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.943901249266851e-09
plot next snapshot,      time step=31000000,     t=3100.000001685443,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.939950002790165e-09
plot next snapshot,      time step=32000000,     t=3200.000001887715,    dt=0.0001,      v_max=1.999999943436137e-09,    dx_min=1.935847838608819e-09
