plot next snapshot,      time step=1,    t=1e-05,        dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.999999943436137e-09
plot next snapshot,      time step=10000000,     t=100.0000000205418,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.9999397471727e-09
plot next snapshot,      time step=20000000,     t=200.0000000522832,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.999759131634915e-09
plot next snapshot,      time step=30000001,     t=300.000009958969,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.999458016353979e-09
plot next snapshot,      time step=40000001,     t=400.0000097064933,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.99903626716499e-09
plot next snapshot,      time step=50000001,     t=500.0000094540176,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.998493695774478e-09
plot next snapshot,      time step=60000001,     t=600.0000092015418,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.997830059445815e-09
plot next snapshot,      time step=70000001,     t=700.0000089490661,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.997045060531018e-09
plot next snapshot,      time step=80000001,     t=800.0000086965904,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.996138345853493e-09
plot next snapshot,      time step=90000001,     t=900.0000084441147,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.995109505987059e-09
plot next snapshot,      time step=100000001,    t=1000.000008191639,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.99395807446778e-09
plot next snapshot,      time step=110000001,    t=1100.000007939163,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.992683526754592e-09
plot next snapshot,      time step=120000001,    t=1200.000007686687,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.991285279233584e-09
plot next snapshot,      time step=130000001,    t=1300.000007434212,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.989762687889768e-09
plot next snapshot,      time step=140000001,    t=1400.000007181736,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.98811504701157e-09
plot next snapshot,      time step=150000001,    t=1500.00000692926,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.986341587819319e-09
plot next snapshot,      time step=160000001,    t=1600.000006676785,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.984441476615695e-09
plot next snapshot,      time step=170000001,    t=1700.000006424309,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.982413813084129e-09
plot next snapshot,      time step=180000001,    t=1800.000006171833,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.980257628259797e-09
plot next snapshot,      time step=190000001,    t=1900.000005919357,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.97797188239843e-09
plot next snapshot,      time step=200000001,    t=2000.000005666882,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.975555462619796e-09
plot next snapshot,      time step=210000001,    t=2100.000006596749,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.973007180347196e-09
plot next snapshot,      time step=220000001,    t=2200.00000861801,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.970325768529272e-09
plot next snapshot,      time step=230000000,    t=2300.000000639271,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.96750987893869e-09
plot next snapshot,      time step=240000000,    t=2400.000002660532,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.96455807777108e-09
plot next snapshot,      time step=250000000,    t=2500.000004681793,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.961468843797579e-09
plot next snapshot,      time step=260000000,    t=2600.000006703054,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.958240563457194e-09
plot next snapshot,      time step=270000000,    t=2700.000008724315,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.954871526992294e-09
plot next snapshot,      time step=279999999,    t=2800.000000745576,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.951359924341734e-09
plot next snapshot,      time step=289999999,    t=2900.000002766837,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.947703838886348e-09
plot next snapshot,      time step=299999999,    t=3000.000004788098,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.943901244333968e-09
plot next snapshot,      time step=309999999,    t=3100.000006809359,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.939949997646758e-09
plot next snapshot,      time step=319999999,    t=3200.00000883062,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.935847833249625e-09
plot next snapshot,      time step=329999998,    t=3300.000000851881,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.93159235680301e-09
plot next snapshot,      time step=339999998,    t=3400.000002873142,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.927181036257814e-09
plot next snapshot,      time step=349999998,    t=3500.000004894403,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.922611196558089e-09
plot next snapshot,      time step=359999998,    t=3600.000006915664,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.917880009417977e-09
plot next snapshot,      time step=369999998,    t=3700.000008936925,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.912984484455262e-09
plot next snapshot,      time step=379999997,    t=3800.000000958186,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.907921459584087e-09
plot next snapshot,      time step=389999997,    t=3900.000002979447,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.902687587939584e-09
plot next snapshot,      time step=399999997,    t=4000.000005000708,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.897279328854952e-09
plot next snapshot,      time step=409999997,    t=4100.00000684007,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.891692932668885e-09
plot next snapshot,      time step=419999997,    t=4200.000004313857,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.885924426777078e-09
plot next snapshot,      time step=429999997,    t=4300.000001787645,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.879969599788097e-09
plot next snapshot,      time step=439999998,    t=4400.000009261432,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.873823983478382e-09
plot next snapshot,      time step=449999998,    t=4500.000006735219,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.867482836101555e-09
plot next snapshot,      time step=459999998,    t=4600.000004209007,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.860941117551615e-09
plot next snapshot,      time step=469999998,    t=4700.000001682794,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.854193468437988e-09
plot next snapshot,      time step=479999999,    t=4800.000009156582,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.847234182894661e-09
plot next snapshot,      time step=489999999,    t=4900.000006630369,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.840057182670059e-09
plot next snapshot,      time step=499999999,    t=5000.000004104157,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.832655981012912e-09
plot next snapshot,      time step=509999999,    t=5100.000001577944,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.825023649823587e-09
plot next snapshot,      time step=520000000,    t=5200.000009051731,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.817152778366829e-09
plot next snapshot,      time step=530000000,    t=5300.000006525519,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.809035431837175e-09
plot next snapshot,      time step=540000000,    t=5400.000003999307,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.800663096506172e-09
plot next snapshot,      time step=550000000,    t=5500.000001473094,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.792026626344348e-09
plot next snapshot,      time step=560000001,    t=5600.000008946881,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.783116177457826e-09
plot next snapshot,      time step=570000001,    t=5700.000006420669,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.773921139216307e-09
plot next snapshot,      time step=580000001,    t=5800.000003894456,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.76443004643089e-09
plot next snapshot,      time step=590000001,    t=5900.000001368244,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.754630488669177e-09
plot next snapshot,      time step=600000002,    t=6000.000008842031,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.744509000301908e-09
plot next snapshot,      time step=610000002,    t=6100.000006315819,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.734050940172633e-09
plot next snapshot,      time step=620000002,    t=6200.000003789606,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.723240341654884e-09
plot next snapshot,      time step=630000002,    t=6300.000001263394,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.712059749526619e-09
plot next snapshot,      time step=640000003,    t=6400.000008737181,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.700490022674597e-09
plot next snapshot,      time step=650000003,    t=6500.000006210968,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.688510109787051e-09
plot next snapshot,      time step=660000003,    t=6600.000003684756,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.676096772225637e-09
plot next snapshot,      time step=670000003,    t=6700.000001158543,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.663224267894821e-09
plot next snapshot,      time step=680000004,    t=6800.000008632331,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.649863965629858e-09
plot next snapshot,      time step=690000004,    t=6900.000006106118,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.635983889814545e-09
plot next snapshot,      time step=700000004,    t=7000.000003579906,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.621548154122539e-09
plot next snapshot,      time step=710000004,    t=7100.000001053693,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.606516285109956e-09
plot next snapshot,      time step=720000005,    t=7200.000008527481,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.590842379712537e-09
plot next snapshot,      time step=730000005,    t=7300.000006001268,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.574474067904323e-09
plot next snapshot,      time step=740000005,    t=7400.000003475056,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.557351192790239e-09
plot next snapshot,      time step=750000005,    t=7500.000000948843,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.539404153000297e-09
plot next snapshot,      time step=760000006,    t=7600.00000842263,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.520551761186132e-09
plot next snapshot,      time step=770000006,    t=7700.000005896418,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.500698467349222e-09
plot next snapshot,      time step=780000006,    t=7800.000003370205,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.47973066765867e-09
plot next snapshot,      time step=790000006,    t=7900.000000843993,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.457511767555605e-09
plot next snapshot,      time step=800000007,    t=8000.00000831778,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.433875410124895e-09
plot next snapshot,      time step=810000007,    t=8100.000005791568,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.408616027015453e-09
plot next snapshot,      time step=820000007,    t=8200.000003265355,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.381475283357716e-09
plot next snapshot,      time step=830000007,    t=8300.000000739143,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.352122157127724e-09
plot next snapshot,      time step=840000008,    t=8400.00000821293,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.32012263043758e-09
plot next snapshot,      time step=850000008,    t=8500.000005686717,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.284891803901261e-09
plot next snapshot,      time step=860000008,    t=8600.000003160505,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.245614497629051e-09
plot next snapshot,      time step=870000008,    t=8700.000000634293,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.201105680294983e-09
plot next snapshot,      time step=880000009,    t=8800.00000810808,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.149545411157627e-09
plot next snapshot,      time step=890000009,    t=8900.000005581867,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.087920212541572e-09
plot next snapshot,      time step=900000009,    t=9000.000003055655,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=1.010653147709594e-09
plot next snapshot,      time step=910000009,    t=9100.000000529442,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=9.053163798880253e-10
plot next snapshot,      time step=920000010,    t=9200.00000800323,     dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=7.306842225364633e-10
plot next snapshot,      time step=930000010,    t=9300.000005477017,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=5.694475294969446e-10
plot next snapshot,      time step=940000010,    t=9400.000002950805,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=8.402278447363398e-10
plot next snapshot,      time step=950000010,    t=9500.000000424592,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=9.709751673087713e-10
plot next snapshot,      time step=960000011,    t=9600.000007898379,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=9.56949689870144e-10
plot next snapshot,      time step=970000011,    t=9700.000005372167,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=7.913492272237377e-10
plot next snapshot,      time step=980000011,    t=9800.000002845954,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=3.567446057431642e-10
plot next snapshot,      time step=990000011,    t=9900.000000319742,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=8.020761975693391e-10
plot next snapshot,      time step=1000000012,   t=10000.00000779353,    dt=1e-05,       v_max=1.999999943436137e-09,    dx_min=9.631885028558578e-10
